回测数据基于币安usdt现货的分钟数据
para,累计净值,年化收益,最大回撤,年化收益回撤比
"[1000, 3.7, 0.6]",4.3123825949893275,0.4958210630730566,-0.7863639856854987,0.6305236151434803
"[220, 4.9, 0.6]",2.528528611330188,0.2912182038854374,-0.46220568471282975,0.6300619259288697
"[140, 2.1, 0.3]",4.381393635436639,0.5050620453793659,-0.8020043061910198,0.6297497924644201
"[500, 1.1, 0.3]",4.9884995118287545,0.5598479777491427,-0.8891631756099814,0.6296346869797856
"[840, 0.9, 0.2]",4.037357052349184,0.47153009592773665,-0.7489157823217092,0.6296169837227212
"[920, 4.5, 0.4]",3.6368595624063014,0.42722826979169604,-0.6788707334406432,0.6293219736052307
"[100, 0.9, 0.1]",4.994336403203503,0.5603506314671249,-0.8906958537473202,0.6291155719538015
"[900, 4.9, 0.1]",2.4070440210405395,0.27381947981505683,-0.43538341623046406,0.6289157317607025
"[440, 2.9, 0.4]",4.8434169788388095,0.5444560858397927,-0.8658151914988359,0.6288363743043941
"[360, 1.3, 0.3]",4.542470119979994,0.5201084102379647,-0.8274345216816335,0.6285795390563647
"[380, 0.9, 0.2]",4.412966248839247,0.5080424906931142,-0.8085371116112403,0.628347769567058
"[960, 1.5, 0.2]",4.219830827534056,0.4895621210212999,-0.779279794254959,0.62822380951036
"[300, 2.3, 0.5]",4.664115940806853,0.5284871481993145,-0.8425021493778111,0.6272828485833573
"[300, 2.3, 0.6]",4.664115940806853,0.5284871481993145,-0.8425021493778111,0.6272828485833573
"[300, 2.3, 0.8]",4.664115940806853,0.5284871481993145,-0.8425021493778111,0.6272828485833573
"[300, 2.3, 0.9]",4.664115940806853,0.5284871481993145,-0.8425021493778111,0.6272828485833573
"[300, 2.3, 0.7]",4.664115940806853,0.5284871481993145,-0.8425021493778111,0.6272828485833573
"[840, 0.7, 0.9]",5.300559832450376,0.5861447613900754,-0.9345702427663098,0.627181066299627
"[520, 4.5, 0.7]",3.3288273321282733,0.3928476452771783,-0.6267002693468713,0.6268509277753983
"[340, 2.5, 0.6]",4.956573166129066,0.5543147688321328,-0.8845331042413336,0.6266749838691115
"[340, 2.5, 0.5]",4.956573166129066,0.5543147688321328,-0.8845331042413336,0.6266749838691115
"[340, 2.5, 0.8]",4.956573166129066,0.5543147688321328,-0.8845331042413336,0.6266749838691115
"[340, 2.5, 0.7]",4.956573166129066,0.5543147688321328,-0.8845331042413336,0.6266749838691115
"[340, 2.5, 0.9]",4.956573166129066,0.5543147688321328,-0.8845331042413336,0.6266749838691115
"[220, 0.3, 0.7]",5.004491132651635,0.5612241097096409,-0.8957630197085694,0.6265319033735411
"[540, 3.7, 0.9]",3.9743453780098577,0.46255385579550024,-0.7383176961295463,0.6264970462178111
"[260, 3.9, 0.8]",4.327041193183075,0.4972202627538058,-0.7941297673672135,0.6261196635434599
"[260, 3.9, 0.9]",4.327041193183075,0.4972202627538058,-0.7941297673672135,0.6261196635434599
"[880, 0.3, 0.6]",5.3998827051397935,0.5942787385607033,-0.9493039828123729,0.6260152167487122
"[260, 0.3, 0.7]",4.313046819088505,0.4985564264334319,-0.7967317127835967,0.6257519544334326
"[880, 4.5, 0.5]",3.684890728938352,0.4323969782626995,-0.6918872421088678,0.6249529575726189
"[360, 2.7, 0.2]",4.551143358905935,0.5181958111827214,-0.8302643183388951,0.6241335436641101
"[280, 3.7, 0.1]",3.727657463513265,0.43695825338880856,-0.7005878686098438,0.6237022834207109
"[880, 1.1, 0.4]",5.222914794265743,0.5797088271978801,-0.9299940866608112,0.6233467884504005
"[740, 4.7, 0.1]",2.2681893727251725,0.2531356177413091,-0.40627517971969285,0.623064440992823
"[240, 3.9, 0.2]",4.085340432185421,0.4736958469940211,-0.7604961692526783,0.6228773610516815
"[380, 5.1, 0.7]",2.916787798070811,0.3430503444846442,-0.5511460612519661,0.6224309100665291
"[780, 1.1, 0.4]",4.72020145049665,0.5362684650108132,-0.8624960622678757,0.6217633777952923
"[300, 2.1, 0.1]",3.8020272538145874,0.4448006607500712,-0.7167021040335857,0.620621396598031
"[280, 4.9, 0.1]",2.2086211682985817,0.24398043236015443,-0.3931996448961206,0.6205001340339756
"[640, 1.3, 0.3]",4.973460871359906,0.5585509338425929,-0.9003045005223866,0.6204022455941329
"[660, 4.3, 0.3]",3.302712615389241,0.38982842643100324,-0.628353340328525,0.6203968395030531
"[660, 3.7, 0.6]",4.154963774732686,0.48057334029410903,-0.7750084560756038,0.6200878668183565
"[960, 5.1, 0.1]",2.376013305891082,0.26927365149071947,-0.43538341623046406,0.6184747545556105
"[320, 2.9, 0.3]",4.301176293161928,0.49474906786914663,-0.800054956592144,0.6183938538129229
